Doc-IDs,Reference-Code,Paper-Type,Pub-Date
10.5065/D6KP8078,C,P,2015
10.1002/2014MS000346,T,P,2014-08-28
10.1002/2015MS000559,T,P,2016-03
10.1007/978-3-319-16604-9_5,T,P,2015
10.1007/s00382-015-2852-2,T,P,2015-10-05
10.1016/j.cpc.2014.09.005,T,P,2014-12
10.1016/j.jcp.2013.08.050,T,P,2014-01
10.1016/j.jcp.2013.12.021,T,P,2014-03
10.1016/j.jcp.2014.04.008,T,P,2014-08
10.1016/j.jcp.2015.02.047,T,P,2015-06
10.1016/j.jcp.2015.03.010,T,P,2015-07
10.1080/19942060.2015.1092268,T,P,2016-01
10.1109/ICPPW.2015.37,T,P,2015-09
10.1145/2792745.2792780,T,P,2015
10.1145/2807591.2807596,T,P,2015
10.1175/BAMS-D-13-00281.1,T,P,2015-12
10.1175/JCLI-D-13-00075.1,T,P,2013-12
10.1175/JCLI-D-14-00103.1,T,P,2015-02
10.1175/JTECH-D-13-00076.1,T,P,2014-12
10.1175/JTECH-D-13-00195.1,T,P,2014-09
10.2172/1184220,T,P,2015-06-11
10.2172/1227965,T,P,2015-12-10
10.2514/6.2013-2431,T,P,2013-06-22
10.2514/6.2013-2855,T,P,2013-06-22
10.2514/6.2013-2906,T,P,2013-06-22
10.2514/6.2015-1130,T,P,2015-01-02
10.2514/6.2016-1910,T,P,2016-01
10.5194/gmd-8-2829-2015,T,P,2015-09-09
10.5194/gmd-9-965-2016,T,P,2016-03-04
http://academicworks.cuny.edu/cc_conf_hic/329,T,G,NA
http://adsabs.harvard.edu/abs/2013AGUFM.H23E1316S,T,G,NA
http://adsabs.harvard.edu/abs/2013AGUFM.S33A2383M,T,G,NA
http://adsabs.harvard.edu/abs/2014EGUGA..1615956C,T,G,NA
http://nldr.library.ucar.edu/repository/assets/osgc/OSGC-000-000-020-137.pdf,T,G,NA
http://ral.ucar.edu/~hopson/Anju/Wood_etal_seaspred.DRAFT_ajn.pdf,T,G,NA
http://www.ecmwf.int/sites/default/files/elibrary/2014/12943-sub-seasonal-predictions.pdf,T,G,NA
https://www.researchgate.net/profile/Ghassan_Alaka/publication/279181483_African_Easterly_Wave_Energetics_on_Intraseasonal_Timescales/links/558ca8eb08aee43bf6ae3966.pdf,T,G,NA
https://www.wmo.int/pages/prog/www/IMOP/publications/IOM-116_TECO-2014/Session%203/O3_6_Colli_CFD.pdf,T,G,NA
10.1002/qj.2540,C,P,2015-04-10
10.1007/978-3-319-10214-6_2,C,P,2014
10.1016/j.jhydrol.2014.10.014,C,P,2014-11
10.1016/j.procs.2013.05.292,C,P,2013
10.1109/BigData.2015.7363979,C,P,2015-10
10.1145/2185475.2185477,C,P,2012
10.5194/gmd-8-3801-2015,C,P,2015-12-01
http://nldr.library.ucar.edu/repository/collections/OSGC-000-000-019-396,C,G,NA
http://radical.rutgers.edu/tmp/2015/02/Thesis_dinesh_.pdf,C,G,NA
https://ams.confex.com/ams/94Annual/webprogram/Handout/Paper237553/Kruse_Davide_2014.pdf,C,G,NA
10.1002/2014GL059222,A,P,2014-02-22
10.1002/2014GL060649,A,P,2014-07-16
10.1002/2014GL060897,A,P,2014-10-06
10.1002/2014GL061077,A,P,2014-08-05
10.1002/2014GL062070,A,P,2014-12-17
10.1002/2014JA020651,A,P,2015-03
10.1002/2014JA020833,A,P,2015-02
10.1002/2014JA020838,A,P,2015-05
10.1002/2014JA020934,A,P,2015-03
10.1002/2014JA020935,A,P,2015-03
10.1002/2014JB011346,A,P,2014-08
10.1002/2014JD022998,A,P,2015-09-05
10.1002/2014MS000313,A,P,2014-12
10.1002/2014MS000363,A,P,2014-12
10.1002/2014MS000393,A,P,2015-05-19
10.1002/2015GL063318,A,P,2015-04-01
10.1002/2015GL063972,A,P,2015-07-03
10.1002/2015GL064627,A,P,2015-07-16
10.1002/2015GL066608,A,P,2015-12-19
10.1002/2015JA021190,A,P,2015-08
10.1002/2015JA021637,A,P,2016-01
10.1002/2015MS000574,A,P,2016-02-01
10.1002/2015SW001330,A,P,2016-02
10.1002/2015WR017934,A,P,2016-01
10.1002/ldr.2506,A,P,2016
10.1002/qj.2389,A,P,2014-06-17
10.1002/qj.2503,A,P,2015-02-02
10.1007/s00382-015-2517-1,A,P,2015-03-03
10.1007/s00382-015-2641-y,A,P,2015-05-22
10.1007/s00382-015-2792-x,A,P,2015-08-08
10.1007/s00382-015-2850-4,A,P,2015-10-13
10.1007/s10546-014-9950-2,A,P,2014-08-01
10.1016/j.atmosenv.2014.07.044,A,P,2015-08
10.1016/j.atmosenv.2014.08.063,A,P,2015-08
10.1016/j.atmosenv.2014.08.072,A,P,2015-08
10.1016/j.atmosenv.2014.09.042,A,P,2015-08
10.1016/j.atmosenv.2014.09.070,A,P,2014-12
10.1016/j.atmosenv.2014.12.007,A,P,2015-08
10.1016/j.atmosenv.2014.12.026,A,P,2015-08
10.1016/j.atmosenv.2014.12.032,A,P,2015-08
10.1016/j.atmosenv.2015.02.034,A,P,2015-08
10.1016/j.cageo.2013.08.013,A,P,2013-12
10.1016/j.jastp.2016.01.005,A,P,2016-02
10.1038/nclimate2840,A,P,2015-11-02
10.1038/ncomms9657,A,P,2015-10-21
10.1063/1.4875728,A,P,2014-05
10.1063/1.4900583,A,P,2014-10
10.1073/pnas.1514182113,A,P,2016-02-08
