Doc-IDs,Reference-Code,Paper-Type
10.1002/2013JC008797,T,P
10.1002/2013JC009231,T,P
10.1002/2013JD020345,T,P
10.1002/2013JD020610,T,P
10.1002/2013JD020644,T,P
10.1002/2013JD021225,T,P
10.1002/2013JD021354,T,P
10.1002/2014GL060930,T,P
10.1002/2014GL062089,T,P
10.1002/2014JC009956,T,P
10.1002/2014JD022117,T,P
10.1002/2014JD022134,T,P
10.1002/2015GL063737,T,P
10.1002/2015JD023358,T,P
10.1002/2015JD023949,T,P
10.1002/2015JD024556,T,P
10.1002/2015JD024642,T,P
10.1002/asl.164,T,P
10.1002/asl2.427,T,P
10.1002/asl2.562,T,P
10.1002/grl.50065,T,P
10.1002/hyp.9361,T,P
10.1002/jgrd.50142,T,P
10.1002/jgrd.50180,T,P
10.1002/jgrd.50606,T,P
10.1002/jgrd.50830,T,P
10.1002/joc.3460,T,P
10.1002/joc.3495,T,P
10.1002/joc.4089,T,P
10.1002/joc.4609,T,P
10.1002/met.1284,T,P
10.1002/met.266,T,P
10.1002/qj.194,T,P
10.1002/qj.601,T,P
10.1002/we.1526,T,P
10.1007/978-3-319-13425-3_8,T,P
10.1007/978-3-540-70942-8_58,T,P
10.1007/978-3-540-88351-7_23,T,P
10.1007/BF02915680,T,P
10.1007/s00024-011-0348-5,T,P
10.1007/s00024-011-0358-3,T,P
10.1007/s00024-013-0697-3,T,P
10.1007/s00024-015-1210-y,T,P
10.1007/s00190-012-0596-x,T,P
10.1007/s00343-012-1272-y,T,P
10.1007/s00376-010-0027-y,T,P
10.1007/s00376-010-0060-x,T,P
10.1007/s00376-010-9129-9,T,P
10.1007/s00376-012-2030-y,T,P
10.1007/s00376-014-3162-z,T,P
10.1007/s00376-014-3228-y,T,P
10.1007/s00376-014-4115-2,T,P
10.1007/s00376-015-5022-x,T,P
10.1007/s00376-016-5061-y,T,P
10.1007/s00382-012-1519-5,T,P
10.1007/s00382-013-1800-2,T,P
10.1007/s00382-013-1859-9,T,P
10.1007/s00382-013-1971-x,T,P
10.1007/s00382-014-2455-3,T,P
10.1007/s00703-006-0229-0,T,P
10.1007/s00703-010-0073-0,T,P
10.1007/s00703-012-0216-6,T,P
10.1007/s00703-015-0415-z,T,P
10.1007/s00703-015-0425-x,T,P
10.1007/s00703-016-0434-4,T,P
10.1007/s00704-013-0956-3,T,P
10.1007/s00704-013-0956-3,T,P
10.1007/s00704-013-0982-1,T,P
10.1007/s00704-014-1344-3,T,P
10.1007/s10236-012-0537-5,T,P
10.1007/s10236-014-0806-6,T,P
10.1007/s10546-009-9462-7,T,P
10.1007/s10546-010-9502-3,T,P
10.1007/s10546-011-9664-7,T,P
10.1007/s10546-012-9727-4,T,P
10.1007/s10546-015-0095-8,T,P
10.1007/s10546-016-0160-y,T,P
10.1007/s10584-013-0885-2,T,P
10.1007/s10666-011-9265-3,T,P
10.1007/s10666-012-9314-6,T,P
10.1007/s10874-016-9331-y,T,P
10.1007/s11069-006-9052-7,T,P
10.1007/s11069-012-0282-6,T,P
10.1007/s11069-013-0852-2,T,P
10.1007/s11069-014-1125-4,T,P
10.1007/s11356-015-5495-2,T,P
10.1007/s11430-013-4801-4,T,P
10.1007/s11430-014-4873-9,T,P
10.1007/s11430-015-5224-1,T,P
10.1007/s11434-011-4518-8,T,P
10.1007/s11629-015-3743-z,T,P
10.1007/s11769-012-0535-z,T,P
10.1007/s11802-015-2466-7,T,P
10.1007/s11869-013-0211-1,T,P
10.1007/s12237-013-9669-1,T,P
10.1007/s12524-014-0386-4,T,P
10.1007/s13143-011-0019-6,T,P
10.1007/s13143-015-0086-1,T,P
10.1016/j.aeolia.2015.07.009,T,P
10.1016/j.atmosenv.2008.10.044,T,P
10.1016/j.atmosenv.2009.04.005,T,P
10.1016/j.atmosenv.2009.10.027,T,P
10.1016/j.atmosenv.2010.05.028,T,P
10.1016/j.atmosenv.2010.09.031,T,P
10.1016/j.atmosenv.2010.12.050,T,P
10.1016/j.atmosenv.2011.02.018,T,P
10.1016/j.atmosenv.2011.06.037,T,P
10.1016/j.atmosenv.2011.10.020,T,P
10.1016/j.atmosenv.2012.03.048,T,P
10.1016/j.atmosenv.2012.06.075,T,P
10.1016/j.atmosenv.2012.08.014,T,P
10.1016/j.atmosenv.2012.12.036,T,P
10.1016/j.atmosenv.2013.03.048,T,P
10.1016/j.atmosenv.2013.06.024,T,P
10.1016/j.atmosenv.2013.11.020,T,P
10.1016/j.atmosenv.2013.12.007,T,P
10.1016/j.atmosenv.2014.04.022,T,P
10.1016/j.atmosenv.2014.06.015,T,P
10.1016/j.atmosenv.2014.08.020,T,P
10.1016/j.atmosenv.2014.09.053,T,P
10.1016/j.atmosenv.2014.10.027,T,P
10.1016/j.atmosenv.2015.03.014,T,P
10.1016/j.atmosenv.2015.03.052,T,P
10.1016/j.atmosenv.2015.06.042,T,P
10.1016/j.atmosenv.2015.06.057,T,P
10.1016/j.atmosenv.2015.09.042,T,P
10.1016/j.atmosenv.2015.10.020,T,P
10.1016/j.atmosres.2006.01.005,T,P
10.1016/j.atmosres.2007.02.007,T,P
10.1016/j.atmosres.2008.03.014,T,P
10.1016/j.atmosres.2010.08.021,T,P
10.1016/j.atmosres.2011.06.016,T,P
10.1016/j.atmosres.2012.04.001,T,P
10.1016/j.atmosres.2012.08.021,T,P
10.1016/j.atmosres.2012.09.002,T,P
10.1016/j.atmosres.2013.04.010,T,P
10.1016/j.atmosres.2014.03.020,T,P
10.1016/j.atmosres.2014.10.022,T,P
10.1016/j.atmosres.2015.03.010,T,P
10.1016/j.atmosres.2015.04.014,T,P
10.1016/j.atmosres.2015.11.006,T,P
10.1016/j.cageo.2013.06.016,T,P
10.1016/j.dynatmoce.2012.09.002,T,P
10.1016/j.envpol.2013.07.020,T,P
10.1016/j.envpol.2013.09.029,T,P
10.1016/j.envpol.2014.06.006,T,P
10.1016/j.jag.2012.09.005,T,P
10.1016/j.jastp.2010.11.003,T,P
10.1016/j.jastp.2015.04.010,T,P
10.1016/j.jqsrt.2013.06.006,T,P
10.1016/j.jvolgeores.2013.11.016,T,P
10.1016/j.jweia.2015.04.011,T,P
10.1016/j.oceaneng.2015.03.009,T,P
10.1016/j.oceaneng.2015.10.055,T,P
10.1016/j.ocemod.2010.07.010,T,P
10.1016/j.partic.2014.09.001,T,P
10.1016/j.pce.2013.05.005,T,P
10.1016/j.pce.2015.01.002,T,P
10.1016/j.polar.2010.11.002,T,P
10.1016/j.rse.2006.02.007,T,P
10.1016/j.rse.2011.04.017,T,P
10.1016/j.scitotenv.2013.11.121,T,P
10.1016/j.scitotenv.2014.03.107,T,P
10.1016/j.scitotenv.2014.04.064,T,P
10.1021/es300391w,T,P
10.1021/es505669j,T,P
10.1029/2002GB002020,T,P
10.1029/2003JD004007,T,P
10.1029/2006GL028386,T,P
10.1029/2006JD007687,T,P
10.1029/2006JD008170,T,P
10.1029/2008GL035630,T,P
10.1029/2008JD009808,T,P
10.1029/2008JD010916,T,P
10.1029/2009JD012038,T,P
10.1029/2009JD012257,T,P
10.1029/2009JD012467,T,P
10.1029/2009JD012518,T,P
10.1029/2009JD013253,T,P
10.1029/2010GL043995,T,P
10.1029/2010GL046214,T,P
10.1029/2010JD014443,T,P
10.1029/2010JD015030,T,P
10.1029/2010JD015484,T,P
10.1029/2011GL048249,T,P
10.1029/2011JD016105,T,P
10.1029/2011JD016240,T,P
10.1029/2011JD016416,T,P
10.1029/2011JD016473,T,P
10.1029/2011JD016765,T,P
10.1029/2011JD016817,T,P
10.1029/2011JD016856,T,P
10.1029/2011JD017317,T,P
10.1029/2012JD017598,T,P
10.1038/srep10167,T,P
10.1061/(ASCE)HE.1943-5584.0000414,T,P
10.1073/pnas.1322280111,T,P
10.1080/01431161.2013.873146,T,P
10.1080/10962247.2012.699014,T,P
10.1080/10962247.2013.827603,T,P
10.1080/13658816.2011.572075,T,P
10.1080/16742834.2011.11446913,T,P
10.1080/16742834.2012.11446962,T,P
10.1080/16742834.2012.11447017,T,P
10.1080/17538940802657702,T,P
10.1088/1674-1056/20/12/129201,T,P
10.1088/1742-6596/524/1/012115,T,P
10.1088/1742-6596/524/1/012120,T,P
10.1088/1748-9326/10/10/105001,T,P
10.1088/1748-9326/8/3/034022,T,P
10.1093/jee/tov230,T,P
10.1109/IGARSS.2012.6351892,T,P
10.1109/JPROC.2011.2159089,T,P
10.1109/TGRS.2011.2112667,T,P
10.1109/TGRS.2012.2190517,T,P
10.1111/j.1600-0870.2011.00511.x,T,P
10.1111/j.1600-0870.2011.00536.x,T,P
10.11137/2014_1_27_35 ,T,P
10.1115/ES2010-90378,T,P
10.1115/FEDSM2014-21292,T,P
10.1117/1.JRS.8.083624,T,P
10.1117/12.2067249,T,P
10.11203/jar.28.5,T,P
10.11298/taiki.44.175,T,P
10.11298/taiki.46.A1,T,P
10.11298/taiki.47.195,T,P
10.11298/taiki.47.205,T,P
10.11298/taiki1995.43.209,T,P
10.11298/taiki1995.43.245,T,P
10.1134/S0001433815050072,T,P
10.1134/S0742046315010054,T,P
10.1155/2012/505726,T,P
10.1155/2013/817870,T,P
10.1155/2014/693205,T,P
10.1175/2008MWR2444.1,T,P
10.1175/2008MWR2445.1,T,P
10.1175/2008MWR2617.1,T,P
10.1175/2009JAMC1926.1,T,P
10.1175/2009JAMC2108.1,T,P
10.1175/2009MWR2488.1,T,P
10.1175/2010JAMC2553.1,T,P
10.1175/2010JAS3559.1,T,P
10.1175/2010JCLI3666.1,T,P
10.1175/2010JCLI3935.1,T,P
10.1175/2010MWR3079.1,T,P
10.1175/2010MWR3122.1,T,P
10.1175/2010WAF2222407.1,T,P
10.1175/JAMC-D-12-013.1,T,P
10.1175/JAMC-D-13-0163.1,T,P
10.1175/JAMC-D-13-0247.1,T,P
10.1175/JAMC-D-14-0243.1,T,P
10.1175/JAMC-D-14-0313.1,T,P
10.1175/JAMC-D-15-0067.1,T,P
10.1175/JAMC-D-15-0083.1,T,P
10.1175/JAMC-D-15-0275.1,T,P
10.1175/JAS-D-11-0251.1,T,P
10.1175/JAS-D-12-0117.1,T,P
10.1175/JAS-D-13-0252.1,T,P
10.1175/JAS-D-14-0051.1,T,P
10.1175/JAS-D-14-0053.1,T,P
10.1175/JCLI-D-11-00391.1,T,P
10.1175/JCLI-D-12-00252.1,T,P
10.1175/JCLI-D-13-00117.1,T,P
10.1175/JCLI-D-14-00241.1,T,P
10.1175/JCLI-D-14-00277.1,T,P
10.1175/JHM-D-12-0155.1,T,P
10.1175/JHM-D-13-0131.1,T,P
10.1175/JHM-D-15-0112.1,T,P
10.1175/JPO-D-15-0086.1,T,P
10.1175/JTECH-D-12-00238.1,T,P
10.1175/JTECH-D-13-00137.1,T,P
10.1175/MWR3011.1,T,P
10.1175/MWR-D-11-00345.1,T,P
10.1175/MWR-D-12-00208.1,T,P
10.1175/MWR-D-12-00352.1,T,P
10.1175/MWR-D-13-00119.1,T,P
10.1175/MWR-D-13-00232.1,T,P
10.1175/MWR-D-14-00221.1,T,P
10.1175/MWR-D-15-0067.1,T,P
10.1175/MWR-D-15-0370.1,T,P
10.1175/WAF-D-10-05058.1,T,P
10.1175/WAF-D-11-00152.1,T,P
10.1175/WAF-D-13-00143.1,T,P
10.1177/1420326X13503576 ,T,P
10.14191/Atmos.2015.25.1.117,T,P
10.1590/S0102-77862012000100008 ,T,P
10.1590/S0102-77862013000100010,T,P
10.17485/ijst/2011/v4i8/30885,T,P
10.2151/jmsj.2011-202,T,P
10.2151/jmsj.2012-C03,T,P
10.2151/sola.2011-006,T,P
10.2151/sola.2011-028,T,P
10.2208/kaigan.67.I_426,T,P
10.2208/kaigan.69.I_516,T,P
10.2208/proce1989.52.181,T,P
10.3103/S1068373914110028,T,P
10.3103/S1068373914120024,T,P
10.3189/2015JoG15J056,T,P
10.3390/ijerph8062447,T,P
10.3390/rs4113501,T,P
10.3390/rs8030262,T,P
10.3402/tellusa.v64i0.17156,T,P
10.3402/tellusa.v66.21486,T,P
10.3402/tellusa.v67.26045,T,P
10.3878/j.issn.1006-9895.1406.13281,T,P
10.3878/j.issn.1006-9895.2012.11096,T,P
10.3969/j.issn.1001-7216.2014.05.012,T,P
10.3969/j.issn.1004-4965.2009.Z1.001,T,P
10.3969/j.issn.1004-4965.2012.06.005,T,P
10.4209/aaqr.2013.03.0093,T,P
10.4209/aaqr.2014.12.0332,T,P
10.4209/aaqr.2015.05.0369,T,P
10.5094/APR.2013.007,T,P
10.5194/acp-10-3723-2010,T,P
10.5194/acp-10-4013-2010,T,P
10.5194/acp-10-9-2010,T,P
10.5194/acp-11-11521-2011,T,P
10.5194/acp-11-1621-2011,T,P
10.5194/acp-12-10971-2012,T,P
10.5194/acp-12-11833-2012,T,P
10.5194/acp-12-3837-2012,T,P
10.5194/acp-12-5827-2012,T,P
10.5194/acp-12-6041-2012,T,P
10.5194/acp-12-7399-2012,T,P
10.5194/acp-13-10425-2013,T,P
10.5194/acp-13-10545-2013,T,P
10.5194/acp-13-3881-2013,T,P
10.5194/acp-13-6741-2013,T,P
10.5194/acp-14-12683-2014,T,P
10.5194/acp-14-3623-2014,T,P
10.5194/acp-14-4779-2014,T,P
10.5194/acp-14-485-2014,T,P
10.5194/acp-14-7807-2014,T,P
10.5194/acp-14-8961-2014,T,P
10.5194/acp-14-9623-2014,T,P
10.5194/acp-15-13833-2015,T,P
10.5194/acp-15-2843-2015,T,P
10.5194/acp-15-363-2015,T,P
10.5194/acp-15-757-2015,T,P
10.5194/acp-16-1823-2016,T,P
10.5194/acp-16-3013-2016,T,P
10.5194/acp-16-3577-2016,T,P
10.5194/acp-16-5139-2016,T,P
10.5194/acp-16-777-2016,T,P
10.5194/acp-9-3755-2009,T,P
10.5194/acp-9-7343-2009,T,P
10.5194/acp-9-8813-2009,T,P
10.5194/amt-2016-104,T,P
10.5194/bg-11-735-2014,T,P
10.5194/bg-8-3771-2011,T,P
10.5194/esd-6-109-2015,T,P
10.5194/gmd-5-1363-2012,T,P
10.5194/gmd-6-1079-2013,T,P
